PatchID,XCOORD,YCOORD,ID,sex,age,size,mature,newmature,layeggs,capture,recapture,infection,CDist,Hindex,Species,ClassFile,SubPatchID,L0A0,L0A1,L1A0,L1A1
1,250.0,0.0,R1_F1_m-1f-1_P1_Y-1_U41,XX,1,53.535,1,1,1.0,0,0,0,-9999.0,1.0,1,P0_CV0,1,2,0,1,1
1,250.0,0.0,R1_F1_m-1f-1_P1_Y-1_U42,XX,1,55.919,1,1,1.0,0,0,0,-9999.0,1.0,1,P0_CV0,1,2,0,0,2
1,250.0,0.0,R1_F1_m-1f-1_P1_Y-1_U43,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,1.0,1,P0_CV0,1,2,0,1,1
1,250.0,0.0,R1_F1_m-1f-1_P1_Y-1_U44,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,1.0,1,P0_CV0,1,2,0,1,1
1,250.0,0.0,R1_F1_m-1f-1_P1_Y-1_U45,XX,0,31.0,0,0,0.0,0,0,0,-9999.0,0.0,1,P0_CV0,1,0,2,1,1
1,250.0,0.0,R1_F1_m-1f-1_P1_Y-1_U46,XX,1,54.185,1,1,1.0,0,0,0,-9999.0,0.5,1,P0_CV0,1,1,1,1,1
1,250.0,0.0,R1_F1_m-1f-1_P1_Y-1_U47,XY,1,50.627,1,1,0.0,0,0,0,-9999.0,0.5,1,P0_CV0,1,1,1,1,1
1,250.0,0.0,R1_F1_m-1f-1_P1_Y-1_U48,XY,1,48.171,1,1,0.0,0,0,0,-9999.0,1.0,1,P0_CV0,1,2,0,1,1
1,250.0,0.0,R1_F1_m-1f-1_P1_Y-1_U49,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,1.0,1,P0_CV0,1,2,0,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U0,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U1,XX,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,2,0
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U2,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U3,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U4,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U5,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,1,1
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U6,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P1_CV0,2,1,1,0,2
2,500.0,0.0,R2_F2_m-1f-1_P2_Y-1_U7,XX,0,31.0,0,0,0.0,0,0,0,-9999.0,1.0,1,P1_CV0,2,2,0,1,1
